dataset,fold-class,n-folds,num_bins,acc_mean,acc_var,prec_mean,prec_var,rec_mean,rec_var,f1_mean,f1_var
diabetes,KFold,2,,0.752239583333334,5.14078776041667E-05,0.727525500200861,9.1364161943153E-05,0.716426567164179,0.000117735606416,0.720910078122076,7.39995786485634E-05
diabetes,StratifiedKFold,2,,0.751927083333334,7.10205078125E-05,0.727206067519982,0.000124747390266,0.715874925373134,0.000156270376743,0.72042206386273,0.000102246098437
diabetes,KFold,3,,0.752916666666667,3.29969618055556E-05,0.728311506776659,5.7477540770851E-05,0.716868656716418,7.41783292492761E-05,0.721486026980579,4.91479269664908E-05
diabetes,StratifiedKFold,3,,0.75375,3.85294596354167E-05,0.729271637013425,6.49305132726975E-05,0.717785671641791,7.71850347070617E-05,0.722426762738847,5.65719944425254E-05
diabetes,KFold,5,,0.754401041666666,2.04054090711806E-05,0.729979163283555,3.87155714614988E-05,0.718908955223881,4.41356694141235E-05,0.723421143746337,2.74011147022892E-05
diabetes,StratifiedKFold,5,,0.756015625,2.68819173177083E-05,0.731872835983084,4.77165127269794E-05,0.720460597014925,5.78175274671419E-05,0.725096323109275,3.85909894133756E-05
diabetes,KFold,10,,0.754700520833333,1.66454739040799E-05,0.73035872957393,2.84539820153283E-05,0.718827313432836,3.7585927868122E-05,0.723498718640582,2.51954254548116E-05
diabetes,StratifiedKFold,10,,0.755338541666667,1.68355305989583E-05,0.731085762800078,2.95889724528769E-05,0.719646268656716,3.82835330808644E-05,0.724291462018594,2.48714314636796E-05
glass,KFold,2,,0.472897196261682,0.001291379159752,0.477747704491395,0.009883290471769,0.480609839587874,0.015724109504673,0.459854042069514,0.009135852555647
glass,StratifiedKFold,2,,0.487616822429906,0.001214680321425,0.492951163155326,0.006773772664409,0.501241364613228,0.01108398318779,0.477031658695995,0.005863261423128
glass,KFold,3,,0.468644859813084,0.001016811511922,0.462132040272159,0.005409708720608,0.492694708970811,0.008911606183785,0.458058334181756,0.00539068495794
glass,StratifiedKFold,3,,0.47518691588785,0.000816532011529,0.47433928619651,0.004691424485426,0.507980096650322,0.005360308356372,0.47094311853533,0.003808114582346
glass,KFold,5,,0.467990654205608,0.00069367412001,0.454954180077305,0.003860262208521,0.49793581428259,0.005299775343177,0.453903374424802,0.003706495969602
glass,StratifiedKFold,5,,0.473598130841122,0.000556980959036,0.464468219265161,0.003361887762171,0.512406382280835,0.00368298042254,0.464662767555515,0.002749234336393
glass,KFold,10,,0.470560747663551,0.000379727487117,0.449253967232415,0.002395494500379,0.503460783184014,0.002570342891742,0.451757976565547,0.002055694185855
glass,StratifiedKFold,10,,0.469719626168224,0.000338667132501,0.44863024665795,0.001743225182175,0.506958859686707,0.001890289183117,0.452738037652143,0.001545136152558
wine,KFold,2,,0.970898876404494,8.9243782350713E-05,0.970913852432474,0.000249267317434,0.973363952547678,0.000270430305157,0.971835399973516,0.00012290910377
wine,StratifiedKFold,2,,0.970112359550562,0.000106602701679,0.970219793973328,0.000277292018836,0.972646630725975,0.000300824905193,0.971121721762623,0.000149023160432
wine,KFold,3,,0.973202247191011,5.9244413584143E-05,0.972917325825781,0.000158788516759,0.975560893610249,0.000134911184706,0.973985003380045,7.90700610371893E-05
wine,StratifiedKFold,3,,0.972865168539326,4.04336573664938E-05,0.972836454507809,0.000148417988492,0.975187113737036,0.000125351803456,0.97377188113949,6.04293520752305E-05
wine,KFold,5,,0.974325842696629,4.05599040525182E-05,0.974071781620952,0.000110925558232,0.976596641998886,8.35350926767074E-05,0.975096500383812,5.24774934105731E-05
wine,StratifiedKFold,5,,0.973426966292135,4.47260446913264E-05,0.97318051115714,0.000130504509835,0.975807273016631,0.000106363006721,0.974238388393449,6.07527856883777E-05
wine,KFold,10,,0.975280898876404,2.90367377856328E-05,0.974995851818672,7.88768381178658E-05,0.97738521524628,6.35523173256138E-05,0.975930795054677,3.8271860245965E-05
wine,StratifiedKFold,10,,0.974438202247191,2.23298825905817E-05,0.974196442406885,7.31640100408483E-05,0.976575952892496,5.55061689587308E-05,0.975098163351733,3.20800680384061E-05
