dataset,fold-class,n-folds,disc_method,num_bins,acc_mean,prec_mean,rec_mean,f1_mean
diabetes,StratifiedKFold,5,discretize_equal_width,2,0.685390625,0.65340882668579,0.652759402985075,0.652953187364633
diabetes,StratifiedKFold,5,discretize_equal_freq,2,0.718190104166666,0.689276455525696,0.686857164179104,0.687953781946389
diabetes,StratifiedKFold,5,discretize_k_means,2,0.651041666666667,0.325520833333333,0.5,0.394321766561514
diabetes,StratifiedKFold,5,discretize_equal_width,3,0.7244921875,0.695330650809311,0.680538656716418,0.685727249396342
diabetes,StratifiedKFold,5,discretize_equal_freq,3,0.7408203125,0.714368549985338,0.710495970149254,0.712254552812296
diabetes,StratifiedKFold,5,discretize_k_means,3,0.63671875,0.361640346408558,0.489865671641791,0.392403340375154
diabetes,StratifiedKFold,5,discretize_equal_width,5,0.748046875,0.723210004325725,0.707458507462686,0.713303789240709
diabetes,StratifiedKFold,5,discretize_equal_freq,5,0.738984375,0.712570338601418,0.711111641791045,0.711798218839986
diabetes,StratifiedKFold,5,discretize_k_means,5,0.679505208333333,0.686775611807426,0.555569253731343,0.518610635719197
diabetes,StratifiedKFold,5,discretize_equal_width,10,0.752903645833333,0.728403357892054,0.716131492537313,0.72101103580936
diabetes,StratifiedKFold,5,discretize_equal_freq,10,0.7538671875,0.72972003035128,0.733552985074627,0.731453582948559
diabetes,StratifiedKFold,5,discretize_k_means,10,0.5775390625,0.457927244783631,0.474350597014925,0.447672685489405
glass,StratifiedKFold,5,discretize_equal_width,2,0.486401869158879,0.280047572624347,0.325345648604269,0.29252515276707
glass,StratifiedKFold,5,discretize_equal_freq,2,0.560280373831776,0.331002224952652,0.345467375334889,0.33141971352837
glass,StratifiedKFold,5,discretize_k_means,2,0.327102803738318,0.054517133956386,0.166666666666667,0.082159624413146
glass,StratifiedKFold,5,discretize_equal_width,3,0.584205607476635,0.328866329871332,0.341273744706594,0.325021517340303
glass,StratifiedKFold,5,discretize_equal_freq,3,0.615140186915888,0.327601956742349,0.376992783683346,0.348957030329032
glass,StratifiedKFold,5,discretize_k_means,3,0.327102803738318,0.054517133956386,0.166666666666667,0.082159624413146
glass,StratifiedKFold,5,discretize_equal_width,5,0.493738317757009,0.41672711440196,0.340654324804053,0.343112401914924
glass,StratifiedKFold,5,discretize_equal_freq,5,0.635560747663551,0.350050979264773,0.387244989869309,0.363584907259554
glass,StratifiedKFold,5,discretize_k_means,5,0.327102803738318,0.054517133956386,0.166666666666667,0.082159624413146
glass,StratifiedKFold,5,discretize_equal_width,10,0.563364485981308,0.472136163307782,0.368565051554616,0.368241518983874
glass,StratifiedKFold,5,discretize_equal_freq,10,0.674439252336448,0.366422362129577,0.414308729198475,0.385343692521927
glass,StratifiedKFold,5,discretize_k_means,10,0.323271028037383,0.069502369668247,0.16468045112782,0.08261976457706
wine,StratifiedKFold,5,discretize_equal_width,2,0.897359550561798,0.897204013291992,0.899299239410095,0.898139598361623
wine,StratifiedKFold,5,discretize_equal_freq,2,0.951292134831461,0.950098760498287,0.955718399379327,0.952268456052071
wine,StratifiedKFold,5,discretize_k_means,2,0.331460674157303,0.110486891385768,0.333333333333333,0.165963431786217
wine,StratifiedKFold,5,discretize_equal_width,3,0.934831460674157,0.934717870547535,0.94076340813241,0.937208151824448
wine,StratifiedKFold,5,discretize_equal_freq,3,0.936797752808989,0.93707899186805,0.940755168961036,0.938573165468964
wine,StratifiedKFold,5,discretize_k_means,3,0.331460674157303,0.110486891385768,0.333333333333333,0.165963431786217
wine,StratifiedKFold,5,discretize_equal_width,5,0.963539325842697,0.964934977240736,0.966595978886502,0.965371249313535
wine,StratifiedKFold,5,discretize_equal_freq,5,0.972247191011236,0.972099378838836,0.97578578817538,0.973666061515833
wine,StratifiedKFold,5,discretize_k_means,5,0.308988764044944,0.10597302504817,0.310734463276836,0.158045977011494
wine,StratifiedKFold,5,discretize_equal_width,10,0.946348314606742,0.94863519993857,0.950656017081775,0.948777340614578
wine,StratifiedKFold,5,discretize_equal_freq,10,0.968202247191011,0.967277498808545,0.972462799395242,0.969392701550267
wine,StratifiedKFold,5,discretize_k_means,10,0.28,0.195990091038765,0.279824938330548,0.166794824607567
diabetes,StratifiedKFold,5,gauss,-,0.7553125,0.731084577679616,0.719453134328358,0.724153870907246
glass,StratifiedKFold,5,gauss,-,0.468177570093458,0.459039521195072,0.505369621784216,0.459902240521531
wine,StratifiedKFold,5,gauss,-,0.973820224719101,0.97347098721902,0.976212302060953,0.974581867281565
