dataset,fold-class,n-folds,num_bins,acc_mean,prec_mean,rec_mean,f1_mean,acc_var [10^-4],prec_var [10^-4],rec_var [10^-4],f1_var [10^-4],acc_var,prec_var,rec_var,f1_var
diabetes,KFold,2,,"0,75224","0,72753","0,71643","0,72091","0,51","0,91","1,18","0,74","0,00005","0,00009","0,00012","0,00007"
diabetes,StratifiedKFold,2,,"0,75193","0,72721","0,71587","0,72042","0,71","1,25","1,56","1,02","0,00007","0,00012","0,00016","0,00010"
diabetes,KFold,3,,"0,75292","0,72831","0,71687","0,72149","0,33","0,57","0,74","0,49","0,00003","0,00006","0,00007","0,00005"
diabetes,StratifiedKFold,3,,"0,75375","0,72927","0,71779","0,72243","0,39","0,65","0,77","0,57","0,00004","0,00006","0,00008","0,00006"
diabetes,KFold,5,,"0,75440","0,72998","0,71891","0,72342","0,20","0,39","0,44","0,27","0,00002","0,00004","0,00004","0,00003"
diabetes,StratifiedKFold,5,,"0,75602","0,73187","0,72046","0,72510","0,27","0,48","0,58","0,39","0,00003","0,00005","0,00006","0,00004"
diabetes,KFold,10,,"0,75470","0,73036","0,71883","0,72350","0,17","0,28","0,38","0,25","0,00002","0,00003","0,00004","0,00003"
diabetes,StratifiedKFold,10,,"0,75534","0,73109","0,71965","0,72429","0,17","0,30","0,38","0,25","0,00002","0,00003","0,00004","0,00002"
glass,KFold,2,,"0,47290","0,47775","0,48061","0,45985","12,91","98,83","157,24","91,36","0,00129","0,00988","0,01572","0,00914"
glass,StratifiedKFold,2,,"0,48762","0,49295","0,50124","0,47703","12,15","67,74","110,84","58,63","0,00121","0,00677","0,01108","0,00586"
glass,KFold,3,,"0,46864","0,46213","0,49269","0,45806","10,17","54,10","89,12","53,91","0,00102","0,00541","0,00891","0,00539"
glass,StratifiedKFold,3,,"0,47519","0,47434","0,50798","0,47094","8,17","46,91","53,60","38,08","0,00082","0,00469","0,00536","0,00381"
glass,KFold,5,,"0,46799","0,45495","0,49794","0,45390","6,94","38,60","53,00","37,06","0,00069","0,00386","0,00530","0,00371"
glass,StratifiedKFold,5,,"0,47360","0,46447","0,51241","0,46466","5,57","33,62","36,83","27,49","0,00056","0,00336","0,00368","0,00275"
glass,KFold,10,,"0,47056","0,44925","0,50346","0,45176","3,80","23,95","25,70","20,56","0,00038","0,00240","0,00257","0,00206"
glass,StratifiedKFold,10,,"0,46972","0,44863","0,50696","0,45274","3,39","17,43","18,90","15,45","0,00034","0,00174","0,00189","0,00155"
wine,KFold,2,,"0,97090","0,97091","0,97336","0,97184","0,89","2,49","2,70","1,23","0,00009","0,00025","0,00027","0,00012"
wine,StratifiedKFold,2,,"0,97011","0,97022","0,97265","0,97112","1,07","2,77","3,01","1,49","0,00011","0,00028","0,00030","0,00015"
wine,KFold,3,,"0,97320","0,97292","0,97556","0,97399","0,59","1,59","1,35","0,79","0,00006","0,00016","0,00013","0,00008"
wine,StratifiedKFold,3,,"0,97287","0,97284","0,97519","0,97377","0,40","1,48","1,25","0,60","0,00004","0,00015","0,00013","0,00006"
wine,KFold,5,,"0,97433","0,97407","0,97660","0,97510","0,41","1,11","0,84","0,52","0,00004","0,00011","0,00008","0,00005"
wine,StratifiedKFold,5,,"0,97343","0,97318","0,97581","0,97424","0,45","1,31","1,06","0,61","0,00004","0,00013","0,00011","0,00006"
wine,KFold,10,,"0,97528","0,97500","0,97739","0,97593","0,29","0,79","0,64","0,38","0,00003","0,00008","0,00006","0,00004"
wine,StratifiedKFold,10,,"0,97444","0,97420","0,97658","0,97510","0,22","0,73","0,56","0,32","0,00002","0,00007","0,00006","0,00003"
